invoice,sku_code,description,qty,inventory_category,invoice_date,unit_price,customer_id,country,transaction_type,revenue_amount,customer_status
571751,M,Manual,1,Stock Correction,31-10-2011,3949.32,12744,Singapore,Positive,3949.32,Registered
571751,M,Manual,1,Stock Correction,31-10-2011,2118.74,12744,Singapore,Positive,2118.74,Registered
571883,M,Manual,6,Stock Correction,31-10-2011,0.39,14704,United Kingdom,Positive,2.34,Registered
571909,M,Manual,1,Stock Correction,31-10-2011,4.95,15006,United Kingdom,Positive,4.95,Registered
572103,M,Manual,1,Stock Correction,13-11-2011,1.25,17571,United Kingdom,Positive,1.25,Registered
572293,M,Manual,1,Stock Correction,14-11-2011,50.00,12748,United Kingdom,Positive,50.00,Registered
572316,M,Manual,1,Stock Correction,14-11-2011,0.38,17836,United Kingdom,Positive,0.38,Registered
572344,M,Manual,456,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,684.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
572344,M,Manual,48,Stock Correction,14-11-2011,1.50,14607,United Kingdom,Positive,72.00,Registered
C572347,S,Samples,-1,Display Stock,14-11-2011,33.05,NA,United Kingdom,Return,-33.05,Guest/Unknown
C572398,M,Manual,-1,Stock Correction,14-11-2011,162.20,NA,United Kingdom,Return,-162.20,Guest/Unknown
572423,M,Manual,1,Stock Correction,14-11-2011,464.90,16742,United Kingdom,Positive,464.90,Registered
C572422,M,Manual,-1,Stock Correction,14-11-2011,183.16,NA,United Kingdom,Return,-183.16,Guest/Unknown
C572428,M,Manual,-1,Stock Correction,14-11-2011,464.90,17949,United Kingdom,Return,-464.90,Registered
C572441,M,Manual,-1,Stock Correction,14-11-2011,177.04,NA,United Kingdom,Return,-177.04,Guest/Unknown
C572444,M,Manual,-1,Stock Correction,14-11-2011,235.54,NA,United Kingdom,Return,-235.54,Guest/Unknown
C572445,M,Manual,-1,Stock Correction,14-11-2011,186.21,NA,United Kingdom,Return,-186.21,Guest/Unknown
C572446,M,Manual,-1,Stock Correction,14-11-2011,302.04,NA,United Kingdom,Return,-302.04,Guest/Unknown
C572448,M,Manual,-1,Stock Correction,14-11-2011,259.79,NA,United Kingdom,Return,-259.79,Guest/Unknown
C572450,M,Manual,-1,Stock Correction,14-11-2011,248.87,NA,United Kingdom,Return,-248.87,Guest/Unknown
C572455,M,Manual,-1,Stock Correction,14-11-2011,265.70,NA,United Kingdom,Return,-265.70,Guest/Unknown
C572456,M,Manual,-1,Stock Correction,14-11-2011,181.75,NA,United Kingdom,Return,-181.75,Guest/Unknown
C572467,M,Manual,-1,Stock Correction,15-11-2011,276.08,NA,United Kingdom,Return,-276.08,Guest/Unknown
C572470,M,Manual,-1,Stock Correction,15-11-2011,233.25,NA,United Kingdom,Return,-233.25,Guest/Unknown
572656,M,Manual,288,Stock Correction,15-11-2011,1.50,14607,United Kingdom,Positive,432.00,Registered
C572659,M,Manual,-1,Stock Correction,15-11-2011,80.00,14527,United Kingdom,Return,-80.00,Registered
572682,M,Manual,72,Stock Correction,16-11-2011,0.39,17928,United Kingdom,Positive,28.08,Registered
572696,M,Manual,1,Stock Correction,16-11-2011,250.00,17857,United Kingdom,Positive,250.00,Registered
572832,M,Manual,1,Stock Correction,16-11-2011,1.00,16454,United Kingdom,Positive,1.00,Registered
572849,S,Samples,1,Display Stock,16-11-2011,33.05,NA,United Kingdom,Positive,33.05,Guest/Unknown
573077,M,Manual,1,Stock Correction,17-11-2011,4161.06,12536,France,Positive,4161.06,Registered
C573079,M,Manual,-2,Stock Correction,17-11-2011,4161.06,12536,France,Return,-8322.12,Registered
573080,M,Manual,1,Stock Correction,17-11-2011,4161.06,12536,France,Positive,4161.06,Registered
C573172,M,Manual,-1,Stock Correction,17-11-2011,0.50,16966,United Kingdom,Return,-0.50,Registered
C573268,M,Manual,-1,Stock Correction,17-11-2011,907.00,12748,United Kingdom,Return,-907.00,Registered
573311,M,Manual,8,Stock Correction,17-11-2011,0.39,14071,United Kingdom,Positive,3.12,Registered
573328,M,Manual,3,Stock Correction,17-11-2011,0.39,16601,United Kingdom,Positive,1.17,Registered
573340,M,Manual,3,Stock Correction,18-11-2011,0.79,14159,United Kingdom,Positive,2.37,Registered
573345,M,Manual,25,Stock Correction,18-11-2011,0.20,17609,United Kingdom,Positive,5.00,Registered
574252,M,Manual,1,Stock Correction,22-11-2011,0.00,12437,France,Positive,0.00,Registered
C574254,M,Manual,-1,Stock Correction,22-11-2011,64.11,15527,United Kingdom,Return,-64.11,Registered
574277,M,Manual,832,Stock Correction,22-11-2011,0.25,17857,United Kingdom,Positive,208.00,Registered
574317,M,Manual,6,Stock Correction,22-11-2011,0.39,17078,United Kingdom,Positive,2.34,Registered
574474,M,Manual,4,Stock Correction,23-11-2011,0.85,17979,United Kingdom,Positive,3.40,Registered
574506,M,Manual,1,Stock Correction,23-11-2011,3.95,12577,France,Positive,3.95,Registered
C574524,M,Manual,-1,Stock Correction,23-11-2011,12.75,17841,United Kingdom,Return,-12.75,Registered
574722,M,Manual,16,Stock Correction,24-11-2011,0.19,14502,United Kingdom,Positive,3.04,Registered
574741,M,Manual,6,Stock Correction,24-11-2011,1.45,15993,United Kingdom,Positive,8.70,Registered
C575013,M,Manual,-96,Stock Correction,25-11-2011,0.19,16253,United Kingdom,Return,-18.24,Registered
575034,M,Manual,1,Stock Correction,25-11-2011,7.95,15573,United Kingdom,Positive,7.95,Registered
575043,M,Manual,1,Stock Correction,25-11-2011,4.95,13047,United Kingdom,Positive,4.95,Registered
C575047,M,Manual,-1,Stock Correction,25-11-2011,14.95,13047,United Kingdom,Return,-14.95,Registered
575059,M,Manual,30,Stock Correction,25-11-2011,0.39,14071,United Kingdom,Positive,11.70,Registered
C575257,M,Manual,-4,Stock Correction,27-11-2011,10.95,13623,United Kingdom,Return,-43.80,Registered
575304,M,Manual,1,Stock Correction,28-11-2011,1.25,17841,United Kingdom,Positive,1.25,Registered
575328,M,Manual,1200,Stock Correction,28-11-2011,0.25,17857,United Kingdom,Positive,300.00,Registered
575632,M,Manual,1,Stock Correction,29-11-2011,40.46,12473,Germany,Positive,40.46,Registered
575632,M,Manual,1,Stock Correction,29-11-2011,424.06,12473,Germany,Positive,424.06,Registered
575632,M,Manual,1,Stock Correction,29-11-2011,549.34,12473,Germany,Positive,549.34,Registered
C575635,M,Manual,-1,Stock Correction,29-11-2011,424.06,12473,Germany,Return,-424.06,Registered
C575635,M,Manual,-1,Stock Correction,29-11-2011,549.34,12473,Germany,Return,-549.34,Registered
575636,M,Manual,1,Stock Correction,29-11-2011,40.46,12473,Germany,Positive,40.46,Registered
C575638,M,Manual,-1,Stock Correction,29-11-2011,40.46,12473,Germany,Return,-40.46,Registered
575848,M,Manual,1,Stock Correction,29-11-2011,10.00,14178,United Kingdom,Positive,10.00,Registered
575904,M,Manual,1,Stock Correction,30-11-2011,7.95,18014,United Kingdom,Positive,7.95,Registered
575952,M,Manual,1,Stock Correction,30-11-2011,0.29,16015,United Kingdom,Positive,0.29,Registered
576213,M,Manual,1,Stock Correction,14-11-2011,1.25,18117,United Kingdom,Positive,1.25,Registered
C576233,M,Manual,-1,Stock Correction,14-11-2011,326.10,NA,Hong Kong,Return,-326.10,Guest/Unknown
576234,M,Manual,1,Stock Correction,14-11-2011,326.10,NA,Hong Kong,Positive,326.10,Guest/Unknown
576349,M,Manual,1,Stock Correction,14-11-2011,2.10,16519,United Kingdom,Positive,2.10,Registered
576389,M,Manual,1,Stock Correction,15-11-2011,850.50,12748,United Kingdom,Positive,850.50,Registered
576553,M,Manual,6,Stock Correction,15-11-2011,2.55,14666,United Kingdom,Positive,15.30,Registered
577029,M,Manual,30,Stock Correction,17-11-2011,1.00,15563,United Kingdom,Positive,30.00,Registered
577058,M,Manual,2,Stock Correction,17-11-2011,0.29,18122,United Kingdom,Positive,0.58,Registered
C577066,M,Manual,-30,Stock Correction,17-11-2011,1.00,15563,United Kingdom,Return,-30.00,Registered
577068,M,Manual,30,Stock Correction,17-11-2011,0.30,15563,United Kingdom,Positive,9.00,Registered
577168,M,Manual,1,Stock Correction,18-11-2011,0.00,12603,Germany,Positive,0.00,Registered
C577330,S,Samples,-1,Display Stock,18-11-2011,2.89,NA,United Kingdom,Return,-2.89,Guest/Unknown
C577330,S,Samples,-1,Display Stock,18-11-2011,75.00,NA,United Kingdom,Return,-75.00,Guest/Unknown
C577330,S,Samples,-1,Display Stock,18-11-2011,5.99,NA,United Kingdom,Return,-5.99,Guest/Unknown
C577346,M,Manual,-1,Stock Correction,18-11-2011,530.25,NA,United Kingdom,Return,-530.25,Guest/Unknown
C577348,M,Manual,-1,Stock Correction,18-11-2011,1149.98,NA,United Kingdom,Return,-1149.98,Guest/Unknown
577695,M,Manual,1,Stock Correction,21-11-2011,0.42,15645,United Kingdom,Positive,0.42,Registered
577696,M,Manual,1,Stock Correction,21-11-2011,0.00,16406,United Kingdom,Positive,0.00,Registered
577773,M,Manual,3,Stock Correction,21-11-2011,2.55,16712,United Kingdom,Positive,7.65,Registered
577893,M,Manual,1,Stock Correction,22-11-2011,1.25,17073,United Kingdom,Positive,1.25,Registered
577906,M,Manual,76,Stock Correction,22-11-2011,0.29,13268,United Kingdom,Positive,22.04,Registered
577938,M,Manual,2,Stock Correction,22-11-2011,1.25,15525,United Kingdom,Positive,2.50,Registered
578017,M,Manual,1,Stock Correction,22-11-2011,1.50,13569,United Kingdom,Positive,1.50,Registered
578036,M,Manual,2,Stock Correction,22-11-2011,0.08,16474,United Kingdom,Positive,0.16,Registered
578041,M,Manual,3,Stock Correction,22-11-2011,1.25,17338,United Kingdom,Positive,3.75,Registered
578060,M,Manual,1600,Stock Correction,22-11-2011,0.25,17857,United Kingdom,Positive,400.00,Registered
C578073,M,Manual,-36,Stock Correction,22-11-2011,0.32,18139,United Kingdom,Return,-11.52,Registered
C578073,M,Manual,-36,Stock Correction,22-11-2011,0.56,18139,United Kingdom,Return,-20.16,Registered
578074,M,Manual,1,Stock Correction,22-11-2011,1.25,17590,United Kingdom,Positive,1.25,Registered
C578076,M,Manual,-24,Stock Correction,22-11-2011,0.56,18139,United Kingdom,Return,-13.44,Registered
578757,M,Manual,2,Stock Correction,25-11-2011,0.85,12748,United Kingdom,Positive,1.70,Registered
578941,M,Manual,6,Stock Correction,27-11-2011,0.39,16024,United Kingdom,Positive,2.34,Registered
578941,M,Manual,14,Stock Correction,27-11-2011,0.21,16024,United Kingdom,Positive,2.94,Registered
578996,M,Manual,1,Stock Correction,27-11-2011,1.00,13991,United Kingdom,Positive,1.00,Registered
579711,M,Manual,1,Stock Correction,30-11-2011,1.25,15060,United Kingdom,Positive,1.25,Registered
580027,M,Manual,1,Stock Correction,01-12-2011,10.00,14178,United Kingdom,Positive,10.00,Registered
580054,M,Manual,8,Stock Correction,01-12-2011,0.08,18122,United Kingdom,Positive,0.64,Registered
C580263,M,Manual,-4,Stock Correction,02-12-2011,9.95,12536,France,Return,-39.80,Registered
C580263,M,Manual,-16,Stock Correction,02-12-2011,0.29,12536,France,Return,-4.64,Registered
C580510,M,Manual,-1,Stock Correction,04-12-2011,1.25,14456,United Kingdom,Return,-1.25,Registered
580611,M,Manual,1,Stock Correction,05-12-2011,0.85,12748,United Kingdom,Positive,0.85,Registered
580645,M,Manual,1,Stock Correction,05-12-2011,219.50,17857,United Kingdom,Positive,219.50,Registered
580646,M,Manual,800,Stock Correction,05-12-2011,0.25,17857,United Kingdom,Positive,200.00,Registered
580884,M,Manual,1,Stock Correction,06-12-2011,0.85,15907,United Kingdom,Positive,0.85,Registered
580956,M,Manual,4,Stock Correction,06-12-2011,1.25,17841,United Kingdom,Positive,5.00,Registered
C581009,M,Manual,-1,Stock Correction,07-12-2011,125.00,16971,United Kingdom,Return,-125.00,Registered
C581145,M,Manual,-1,Stock Correction,07-12-2011,9.95,17490,United Kingdom,Return,-9.95,Registered
581405,M,Manual,3,Stock Correction,08-12-2011,0.42,13521,United Kingdom,Positive,1.26,Registered
C581499,M,Manual,-1,Stock Correction,09-12-2011,224.69,15498,United Kingdom,Return,-224.69,Registered
550193,PADS,Pads To Match All Cushions,1,Stock Correction,23-06-2011,0.00,13952,United Kingdom,Positive,0.00,Registered
561226,PADS,Pads To Match All Cushions,1,Stock Correction,31-10-2011,0.00,15618,United Kingdom,Positive,0.00,Registered
568158,PADS,Pads To Match All Cushions,1,Stock Correction,25-09-2011,0.00,16133,United Kingdom,Positive,0.00,Registered
568200,PADS,Pads To Match All Cushions,1,Stock Correction,25-09-2011,0.00,16198,United Kingdom,Positive,0.00,Registered
537032,21275,?,-30,Unknown,03-12-2010,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
538071,21120,*Boombox Ipod Classic,1,Unknown,09-12-2010,16.98,NA,United Kingdom,Positive,16.98,Guest/Unknown
538090,20956,?,-723,Unknown,09-12-2010,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
539437,20954,*Usb Office Mirror Ball,1,Unknown,17-12-2010,8.47,NA,United Kingdom,Positive,8.47,Guest/Unknown
539453,20954,*Usb Office Mirror Ball,1,Unknown,17-12-2010,8.47,NA,United Kingdom,Positive,8.47,Guest/Unknown
539494,21479,?,752,Unknown,20-12-2010,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
540100,22837,?,-106,Unknown,13-01-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
540558,21258,?,-29,Unknown,19-01-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
540651,82599,?,-290,Unknown,20-01-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
541882,48185,?,-57,Unknown,16-02-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
542861,47591B,?,-207,Unknown,24-02-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
544410,84997C,?,-741,Unknown,23-03-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
544649,21621,?,-400,Unknown,25-03-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546024,85175,? Sold As Sets?,-1200,Combo Sales,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546025,85172,?Sold As Sets?,-600,Combo Sales,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546138,21815,?,-300,Unknown,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546139,84988,?,3000,Unknown,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546145,21537,?,-80,Unknown,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546148,85049D,?,-100,Unknown,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546149,20866,?,-230,Unknown,19-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
546245,85185B,?,-259,Unknown,20-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
547339,84406B,?,-450,Unknown,17-05-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
547363,22459,?Lost,-232,Missing,17-05-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
554852,21272,?,-212,Unknown,30-08-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
556231,85123A,?,4000,Unknown,20-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
556299,21937,?,-161,Unknown,20-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
557035,82583,?,-220,Unknown,23-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
557036,20867,?,-271,Unknown,23-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
558457,21147,?,-95,Unknown,30-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
559314,84584,?,-50,Unknown,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
559375,22051,?,-300,Unknown,19-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
559655,21166,?,-124,Unknown,20-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
559943,21578,?,-251,Unknown,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
561665,22171,?,142,Unknown,13-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
561927,22740,?,-1060,Unknown,14-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
562164,21257,?,-94,Unknown,15-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
562382,22927,?,-40,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
562383,22523,?,-90,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
562546,20694,?,-110,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565288,23135,?,101,Unknown,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565297,84877D,?,-203,Unknown,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565302,21682,?Display?,-156,Display Stock,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565307,21830,?,-443,Unknown,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565310,21829,?Missing,-1897,Missing,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
565385,22435,?Missing,-434,Missing,27-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
566449,20856,??,-140,Unknown,09-12-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
566712,22030,??,-635,Unknown,14-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
567629,40016,?,-752,Unknown,21-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
567693,85199L,?,-250,Unknown,21-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
568302,20700,?,-121,Unknown,26-09-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569855,23412,?,-30,Unknown,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569886,90191,??,-60,Unknown,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570110,22570,?,-74,Unknown,19-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570112,22569,?,-84,Unknown,19-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570599,84596G,??,-365,Unknown,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570712,22121,?,-90,Unknown,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571024,22812,?,-270,Unknown,25-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571116,23131,?,-49,Unknown,26-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571126,72802A,?,-50,Unknown,26-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572702,37479P,??,-184,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572749,22572,??,-335,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572891,23343,20713,-400,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572920,72803A,?,117,Unknown,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
575615,82582,??,-130,Unknown,29-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
576765,22219,???Lost,-550,Missing,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
578245,22568,?? Missing,-170,Missing,23-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
578476,72807B,????Missing,-124,Missing,24-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
578477,72807A,???Missing,-224,Missing,24-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
578478,72807C,???Missing,-428,Missing,24-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
580547,21201,???,-390,Unknown,05-12-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
581204,85104,????Damages????,-355,Product Damage,07-12-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
537425,84968F,Check,-20,Stock Correction,06-12-2010,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
537426,84968E,Check,-35,Stock Correction,06-12-2010,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
545546,84249A,Check,-150,Stock Correction,14-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
545990,84598,Check,-3000,Stock Correction,18-04-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569875,90195A,Check,-45,Stock Correction,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569876,90210D,Check,-28,Stock Correction,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569879,90012B,Check,-5,Stock Correction,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
569883,90014A,Check,-12,Stock Correction,18-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570403,47574A,Check,-61,Stock Correction,21-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570595,21823,Check,-94,Stock Correction,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570596,21803,Check,-38,Stock Correction,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
570691,85231G,Check,-110,Stock Correction,24-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571130,72802C,Check,-37,Stock Correction,26-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571131,72802B,Check,-51,Stock Correction,26-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571687,22149,Check,-46,Stock Correction,31-10-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
571915,21627,Check,-32,Stock Correction,13-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572689,84969,Check,-50,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572691,22426,Check,-15,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572692,21071,Check,-82,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572693,35810A,Check,-78,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572748,21824,Check,-103,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
572919,72802C,Check,-17,Stock Correction,16-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573255,85135B,Check,3,Stock Correction,17-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573463,17012B,Check,-70,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573482,21181,Check,-54,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573487,23400,Check,-19,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573489,85035B,Check,-36,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573490,85035A,Check,-59,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573491,21618,Check,-54,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573493,21619,Check,-94,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573494,47503H,Check,-24,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573495,22117,Check,184,Stock Correction,18-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573497,21642,Check,-138,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573498,21636,Check,-22,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573499,21192,Check,-164,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573503,22595,Check,-80,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573505,85208,Check,-22,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573670,22176,Check,-28,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573672,22522,Check,-126,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573726,72817,Check,-67,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573734,72818,Check,-26,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573751,46000U,Check,10,Stock Correction,20-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573815,20902,Check,-3,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573816,20898,Check,-10,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573880,22812,Check,48,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573919,21352,Check,-23,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573920,84050,Check,14,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573926,47503A,Check,65,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573978,21644,Check,27,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573979,35968,Check,9,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573980,21539,Check,4,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573981,21700,Check,26,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573983,82600,Check,3,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573984,16207A,Check,2,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573985,22848,Check,2,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573986,84659A,Check,19,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573987,21349,Check,1,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573988,22925,Check,1,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573989,23091,Check,2,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573990,22606,Check,1,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
573991,21804,Check,36,Stock Correction,21-11-2011,0.00,NA,United Kingdom,Positive,0.00,Guest/Unknown
